study,rep,subject,sex,date,session,pair,small_num,large_num,large_side,small_birds,large_birds,choice,choose_larger
Food,1,Fozzie,Male,2021-04-01T00:00:00Z,17,4-5,4,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-05T00:00:00Z,18,1-2,1,2,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-05T00:00:00Z,18,3-5,3,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-05T00:00:00Z,18,1-3,1,3,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-05T00:00:00Z,18,1-5,1,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-05T00:00:00Z,18,1-6,1,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-06T00:00:00Z,19,5-6,5,6,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-04-06T00:00:00Z,19,2-6,2,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-07T00:00:00Z,20,2-5,2,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-07T00:00:00Z,20,1-4,1,4,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-04-07T00:00:00Z,20,1-3,1,3,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-09T00:00:00Z,21,1-6,1,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-12T00:00:00Z,22,2-4,2,4,R,NA,NA,L,0
Food,1,Fozzie,Male,2021-04-12T00:00:00Z,22,1-5,1,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-12T00:00:00Z,22,4-5,4,5,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-04-13T00:00:00Z,23,3-5,3,5,R,NA,NA,L,0
Food,1,Fozzie,Male,2021-04-14T00:00:00Z,24,4-6,4,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-14T00:00:00Z,24,2-3,2,3,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-04-14T00:00:00Z,24,1-2,1,2,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-14T00:00:00Z,24,3-4,3,4,R,NA,NA,L,0
Food,1,Fozzie,Male,2021-04-14T00:00:00Z,24,5-6,5,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-14T00:00:00Z,24,3-6,3,6,R,NA,NA,L,0
Food,1,Fozzie,Male,2021-04-16T00:00:00Z,26,2-6,2,6,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-04-20T00:00:00Z,27,1-3,1,3,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-20T00:00:00Z,27,4-6,4,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-21T00:00:00Z,28,4-5,4,5,R,NA,NA,L,0
Food,1,Fozzie,Male,2021-04-21T00:00:00Z,28,2-4,2,4,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-23T00:00:00Z,30,2-5,2,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-26T00:00:00Z,31,1-5,1,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-26T00:00:00Z,31,1-6,1,6,R,NA,NA,L,0
Food,1,Fozzie,Male,2021-04-26T00:00:00Z,31,3-5,3,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-26T00:00:00Z,31,3-4,3,4,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-04-27T00:00:00Z,32,2-3,2,3,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-27T00:00:00Z,32,1-4,1,4,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-27T00:00:00Z,32,5-6,5,6,R,NA,NA,L,0
Food,1,Fozzie,Male,2021-04-29T00:00:00Z,24,3-6,3,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-29T00:00:00Z,24,1-2,1,2,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-04-30T00:00:00Z,35,1-5,1,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-30T00:00:00Z,35,4-5,4,5,R,NA,NA,L,0
Food,1,Fozzie,Male,2021-04-30T00:00:00Z,35,3-6,3,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-30T00:00:00Z,35,3-4,3,4,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-04-30T00:00:00Z,35,2-5,2,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-04T00:00:00Z,36,1-3,1,3,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-04T00:00:00Z,36,2-6,2,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-04T00:00:00Z,36,2-4,2,4,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-04T00:00:00Z,36,1-4,1,4,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-04T00:00:00Z,36,3-5,3,5,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-05T00:00:00Z,37,2-3,2,3,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-06T00:00:00Z,38,1-2,1,2,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-06T00:00:00Z,38,1-6,1,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-06T00:00:00Z,38,4-6,4,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-06T00:00:00Z,38,5-6,5,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-07T00:00:00Z,39,2-6,2,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-11T00:00:00Z,40,3-4,3,4,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-11T00:00:00Z,40,2-4,2,4,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-11T00:00:00Z,40,2-5,2,5,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-11T00:00:00Z,40,1-5,1,5,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-11T00:00:00Z,40,3-6,3,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-12T00:00:00Z,41,1-6,1,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-12T00:00:00Z,41,2-3,2,3,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-12T00:00:00Z,41,1-3,1,3,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-12T00:00:00Z,41,5-6,5,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-12T00:00:00Z,41,1-4,1,4,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-13T00:00:00Z,42,4-5,4,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-13T00:00:00Z,42,1-2,1,2,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-13T00:00:00Z,42,3-5,3,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-13T00:00:00Z,42,4-6,4,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-13T00:00:00Z,42,3-6,3,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-14T00:00:00Z,43,2-5,2,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-14T00:00:00Z,43,3-4,3,4,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-14T00:00:00Z,43,2-3,2,3,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-14T00:00:00Z,43,1-4,1,4,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-17T00:00:00Z,44,4-5,4,5,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-17T00:00:00Z,44,4-6,4,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-17T00:00:00Z,44,5-6,5,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-17T00:00:00Z,44,1-3,1,3,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-18T00:00:00Z,45,3-5,3,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-18T00:00:00Z,45,1-5,1,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-21T00:00:00Z,47,1-6,1,6,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-21T00:00:00Z,47,1-2,1,2,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-21T00:00:00Z,47,2-4,2,4,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-21T00:00:00Z,47,2-6,2,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-21T00:00:00Z,47,3-6,3,6,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-22T00:00:00Z,48,4-5,4,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-22T00:00:00Z,48,3-4,3,4,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-24T00:00:00Z,49,1-2,1,2,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-24T00:00:00Z,49,2-4,2,4,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-24T00:00:00Z,49,5-6,5,6,L,NA,NA,R,0
Food,1,Fozzie,Male,2021-05-24T00:00:00Z,49,3-5,3,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-25T00:00:00Z,50,2-6,2,6,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-25T00:00:00Z,50,2-3,2,3,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-25T00:00:00Z,50,1-4,1,4,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-25T00:00:00Z,50,1-3,1,3,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-26T00:00:00Z,51,2-5,2,5,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-26T00:00:00Z,51,1-6,1,6,R,NA,NA,R,1
Food,1,Fozzie,Male,2021-05-26T00:00:00Z,51,1-5,1,5,L,NA,NA,L,1
Food,1,Fozzie,Male,2021-05-27T00:00:00Z,52,4-6,4,6,R,NA,NA,R,1
Food,1,Uno,Female,2021-03-11T00:00:00Z,1,3-4,3,4,R,NA,NA,L,0
Food,1,Uno,Female,2021-03-11T00:00:00Z,1,2-6,2,6,L,NA,NA,R,0
Food,1,Uno,Female,2021-03-12T00:00:00Z,2,1-2,1,2,R,NA,NA,R,1
Food,1,Uno,Female,2021-03-12T00:00:00Z,2,4-5,4,5,L,NA,NA,L,1
Food,1,Uno,Female,2021-03-12T00:00:00Z,2,1-4,1,4,L,NA,NA,L,1
Food,1,Uno,Female,2021-03-12T00:00:00Z,2,3-5,3,5,R,NA,NA,L,0
Food,1,Uno,Female,2021-03-14T00:00:00Z,3,2-3,2,3,L,NA,NA,L,1
Food,1,Uno,Female,2021-03-14T00:00:00Z,3,1-6,1,6,L,NA,NA,L,1
Food,1,Uno,Female,2021-03-14T00:00:00Z,3,1-3,1,3,R,NA,NA,R,1
Food,1,Uno,Female,2021-03-16T00:00:00Z,5,1-5,1,5,L,NA,NA,L,1
